Linha,010
Tabela,002-2
num,ponto,horario
141010,ESTAÇÃO PUC (SENTIDO SUL),17:12
121012,PREFEITURA (SENTIDO HORARIO),18:06
141010,ESTAÇÃO PUC (SENTIDO SUL),18:46
121012,PREFEITURA (SENTIDO HORARIO),19:32
141010,ESTAÇÃO PUC (SENTIDO SUL),20:06
121012,PREFEITURA (SENTIDO HORARIO),20:40
141010,ESTAÇÃO PUC (SENTIDO SUL),21:06
121012,PREFEITURA (SENTIDO HORARIO),21:40
141010,ESTAÇÃO PUC (SENTIDO SUL),22:06
121012,PREFEITURA (SENTIDO HORARIO),22:40
141010,ESTAÇÃO PUC (SENTIDO SUL),23:06
121012,PREFEITURA (SENTIDO HORARIO),23:36
141010,ESTAÇÃO PUC (SENTIDO SUL),00:00
