Linha,010
Tabela,003-2
num,ponto,horario
141010,ESTAÇÃO PUC (SENTIDO SUL),11:20
121012,PREFEITURA (SENTIDO HORARIO),12:15
141010,ESTAÇÃO PUC (SENTIDO SUL),12:48
121012,PREFEITURA (SENTIDO HORARIO),13:49
141010,ESTAÇÃO PUC (SENTIDO SUL),14:19
121012,PREFEITURA (SENTIDO HORARIO),15:02
141010,ESTAÇÃO PUC (SENTIDO SUL),15:31
121012,PREFEITURA (SENTIDO HORARIO),16:14
141010,ESTAÇÃO PUC (SENTIDO SUL),16:45
121012,PREFEITURA (SENTIDO HORARIO),17:30
141010,ESTAÇÃO PUC (SENTIDO SUL),18:06
121012,PREFEITURA (SENTIDO HORARIO),19:02
141010,ESTAÇÃO PUC (SENTIDO SUL),19:36
121012,PREFEITURA (SENTIDO HORARIO),20:10
141010,ESTAÇÃO PUC (SENTIDO SUL),20:36
121012,PREFEITURA (SENTIDO HORARIO),21:10
141010,ESTAÇÃO PUC (SENTIDO SUL),21:36
121012,PREFEITURA (SENTIDO HORARIO),22:10
141010,ESTAÇÃO PUC (SENTIDO SUL),22:36
121012,PREFEITURA (SENTIDO HORARIO),23:10
141010,ESTAÇÃO PUC (SENTIDO SUL),23:35
