Linha,010
Tabela,002-1
num,ponto,horario
190176,RUA TAPAJOS N.1000,05:48
121012,PREFEITURA (SENTIDO HORARIO),05:53
141010,ESTAÇÃO PUC (SENTIDO SUL),06:20
121012,PREFEITURA (SENTIDO HORARIO),07:04
141010,ESTAÇÃO PUC (SENTIDO SUL),07:45
121012,PREFEITURA (SENTIDO HORARIO),08:45
141010,ESTAÇÃO PUC (SENTIDO SUL),09:20
121012,PREFEITURA (SENTIDO HORARIO),10:05
141010,ESTAÇÃO PUC (SENTIDO SUL),10:37
121012,PREFEITURA (SENTIDO HORARIO),11:28
141010,ESTAÇÃO PUC (SENTIDO SUL),12:00
121012,PREFEITURA (SENTIDO HORARIO),12:45
141010,ESTAÇÃO PUC (SENTIDO SUL),13:16
