Linha,X32
Tabela,001-1
num,ponto,horario
109100,TERMINAL CIC/SENT.CAPAO RASO,06:01
109096,TERMINAL C.RASO-VAZIO,06:13
109100,TERMINAL CIC/SENT.CAPAO RASO,06:32
109096,TERMINAL C.RASO-VAZIO,06:42
109100,TERMINAL CIC/SENT.CAPAO RASO,06:56
109096,TERMINAL C.RASO-VAZIO,07:07
109100,TERMINAL CIC/SENT.CAPAO RASO,07:25
109096,TERMINAL C.RASO-VAZIO,07:37
109100,TERMINAL CIC/SENT.CAPAO RASO,07:53
109096,TERMINAL C.RASO-VAZIO,08:04
109100,TERMINAL CIC/SENT.CAPAO RASO,08:21
109096,TERMINAL C.RASO-VAZIO,08:31
109100,TERMINAL CIC/SENT.CAPAO RASO,08:44
