Linha,011
Tabela,001-2
num,ponto,horario
120104,PREFEITURA (SENT.ANTI-HORARIO),13:24
141011,ESTAÇÃO PUC (SENTIDO NORTE),14:14
120104,PREFEITURA (SENT.ANTI-HORARIO),14:48
141011,ESTAÇÃO PUC (SENTIDO NORTE),15:38
120104,PREFEITURA (SENT.ANTI-HORARIO),16:15
141011,ESTAÇÃO PUC (SENTIDO NORTE),17:15
120104,PREFEITURA (SENT.ANTI-HORARIO),18:05
141011,ESTAÇÃO PUC (SENTIDO NORTE),19:10
120104,PREFEITURA (SENT.ANTI-HORARIO),19:50
141011,ESTAÇÃO PUC (SENTIDO NORTE),20:31
120104,PREFEITURA (SENT.ANTI-HORARIO),20:55
141011,ESTAÇÃO PUC (SENTIDO NORTE),21:33
120104,PREFEITURA (SENT.ANTI-HORARIO),21:57
141011,ESTAÇÃO PUC (SENTIDO NORTE),22:35
120104,PREFEITURA (SENT.ANTI-HORARIO),22:59
141011,ESTAÇÃO PUC (SENTIDO NORTE),23:30
