Linha,200
Tabela,16-2
num,ponto,horario
108035,ESTACAO TUBO BENTO VIANA/NORTE,15:38
108021,ESTACAO TUBO P.PUBLICO/NORTE,15:51
105901,TERMINAL SANTA CANDIDA,16:10
108022,ESTACAO TUBO P.PUBLICO/SUL,16:25
108035,ESTACAO TUBO BENTO VIANA/NORTE,16:43
108021,ESTACAO TUBO P.PUBLICO/NORTE,16:55
105901,TERMINAL SANTA CANDIDA,17:15
108022,ESTACAO TUBO P.PUBLICO/SUL,17:30
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:49
108021,ESTACAO TUBO P.PUBLICO/NORTE,18:02
105901,TERMINAL SANTA CANDIDA,18:24
108022,ESTACAO TUBO P.PUBLICO/SUL,18:38
108036,ESTACAO TUBO BENTO VIANA/SUL,18:55
