Linha,200
Tabela,2-2
num,ponto,horario
108035,ESTACAO TUBO BENTO VIANA/NORTE,16:08
108021,ESTACAO TUBO P.PUBLICO/NORTE,16:20
105901,TERMINAL SANTA CANDIDA,16:40
108022,ESTACAO TUBO P.PUBLICO/SUL,16:55
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:14
108021,ESTACAO TUBO P.PUBLICO/NORTE,17:26
105901,TERMINAL SANTA CANDIDA,17:47
108022,ESTACAO TUBO P.PUBLICO/SUL,18:02
108035,ESTACAO TUBO BENTO VIANA/NORTE,18:24
108021,ESTACAO TUBO P.PUBLICO/NORTE,18:38
105901,TERMINAL SANTA CANDIDA,19:00
108022,ESTACAO TUBO P.PUBLICO/SUL,19:13
