Linha,200
Tabela,9-1
num,ponto,horario
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:15
108021,ESTACAO TUBO P.PUBLICO/NORTE,06:27
105901,TERMINAL SANTA CANDIDA,06:47
108022,ESTACAO TUBO P.PUBLICO/SUL,07:01
108035,ESTACAO TUBO BENTO VIANA/NORTE,07:20
108021,ESTACAO TUBO P.PUBLICO/NORTE,07:32
105901,TERMINAL SANTA CANDIDA,07:53
108022,ESTACAO TUBO P.PUBLICO/SUL,08:08
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:29
108021,ESTACAO TUBO P.PUBLICO/NORTE,08:41
105901,TERMINAL SANTA CANDIDA,09:00
108022,ESTACAO TUBO P.PUBLICO/SUL,09:14
