Linha,200
Tabela,5-1
num,ponto,horario
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:05
108021,ESTACAO TUBO P.PUBLICO/NORTE,06:17
105901,TERMINAL SANTA CANDIDA,06:37
108022,ESTACAO TUBO P.PUBLICO/SUL,06:51
108035,ESTACAO TUBO BENTO VIANA/NORTE,07:09
108021,ESTACAO TUBO P.PUBLICO/NORTE,07:21
105901,TERMINAL SANTA CANDIDA,07:41
108022,ESTACAO TUBO P.PUBLICO/SUL,07:56
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:15
108021,ESTACAO TUBO P.PUBLICO/NORTE,08:27
105901,TERMINAL SANTA CANDIDA,08:46
108022,ESTACAO TUBO P.PUBLICO/SUL,09:00
