Linha,X37
Tabela,005-2
num,ponto,horario
105739,T. PINHEIRINHO DIRETO STA RITA,17:01
170959,BAIRRO VAZIO T.PINHEIRINHO,17:38
105739,T. PINHEIRINHO DIRETO STA RITA,18:11
170959,BAIRRO VAZIO T.PINHEIRINHO,18:50
105739,T. PINHEIRINHO DIRETO STA RITA,19:23
