Linha,X37
Tabela,004-2
num,ponto,horario
105739,T. PINHEIRINHO DIRETO STA RITA,16:22
170959,BAIRRO VAZIO T.PINHEIRINHO,16:55
105739,T. PINHEIRINHO DIRETO STA RITA,17:29
170959,BAIRRO VAZIO T.PINHEIRINHO,18:12
105739,T. PINHEIRINHO DIRETO STA RITA,18:52
