Linha,917
Tabela,001-2
num,ponto,horario
106003,TERMINAL SANTA FELICIDADE,16:25
190451,BAIRRO JARDIM IPE,16:39
106003,TERMINAL SANTA FELICIDADE,17:00
190451,BAIRRO JARDIM IPE,17:16
106003,TERMINAL SANTA FELICIDADE,17:38
190451,BAIRRO JARDIM IPE,17:54
106003,TERMINAL SANTA FELICIDADE,18:16
190451,BAIRRO JARDIM IPE,18:32
106003,TERMINAL SANTA FELICIDADE,18:54
190451,BAIRRO JARDIM IPE,19:10
106003,TERMINAL SANTA FELICIDADE,19:30
190451,BAIRRO JARDIM IPE,19:46
106003,TERMINAL SANTA FELICIDADE,20:06
190451,BAIRRO JARDIM IPE,20:22
