Linha,533
Tabela,002-2
num,ponto,horario
104306,T.BOQUEIRAO/SENT.PANTANAL,16:33
160217,BAIRRO PANTANAL,16:44
104317,T.BOQUEIRAO/SENT.E.VERISSIMO,16:55
160778,BAIRRO ERICO VERISSIMO,17:12
104306,T.BOQUEIRAO/SENT.PANTANAL,17:29
160217,BAIRRO PANTANAL,17:40
104317,T.BOQUEIRAO/SENT.E.VERISSIMO,17:51
160778,BAIRRO ERICO VERISSIMO,18:08
104306,T.BOQUEIRAO/SENT.PANTANAL,18:25
160217,BAIRRO PANTANAL,18:36
104317,T.BOQUEIRAO/SENT.E.VERISSIMO,18:47
160778,BAIRRO ERICO VERISSIMO,19:04
104306,T.BOQUEIRAO/SENT.PANTANAL,19:21
160217,BAIRRO PANTANAL,19:32
104317,T.BOQUEIRAO/SENT.E.VERISSIMO,19:42
160778,BAIRRO ERICO VERISSIMO,19:57
104306,T.BOQUEIRAO/SENT.PANTANAL,20:12
160217,BAIRRO PANTANAL,20:22
104317,T.BOQUEIRAO/SENT.E.VERISSIMO,20:35
160778,BAIRRO ERICO VERISSIMO,20:50
104306,T.BOQUEIRAO/SENT.PANTANAL,21:05
160217,BAIRRO PANTANAL,21:17
104317,T.BOQUEIRAO/SENT.E.VERISSIMO,21:30
160778,BAIRRO ERICO VERISSIMO,21:45
104306,T.BOQUEIRAO/SENT.PANTANAL,22:00
160217,BAIRRO PANTANAL,22:12
104317,T.BOQUEIRAO/SENT.E.VERISSIMO,22:25
160778,BAIRRO ERICO VERISSIMO,22:40
104306,T.BOQUEIRAO/SENT.PANTANAL,23:00
160217,BAIRRO PANTANAL,23:12
104317,T.BOQUEIRAO/SENT.E.VERISSIMO,23:30
160778,BAIRRO ERICO VERISSIMO,23:45
104306,T.BOQUEIRAO/SENT.PANTANAL,00:00
160217,BAIRRO PANTANAL,00:10
104317,T.BOQUEIRAO/SENT.E.VERISSIMO,00:20
