Linha,210
Tabela,001
num,ponto,horario
109100,TERMINAL CIC,05:30
109051,TUBO TIRADENTES,06:06
109085,TERMINAL CABRAL,06:20
109063,PRACA RUI BARBOSA,06:37
109100,TERMINAL CIC,07:13
109051,TUBO TIRADENTES,07:51
109085,TERMINAL CABRAL,08:05
109063,PRACA RUI BARBOSA,08:24
109100,TERMINAL CIC,08:57
109051,TUBO TIRADENTES,09:35
109085,TERMINAL CABRAL,09:49
109063,PRACA RUI BARBOSA,10:08
109100,TERMINAL CIC,10:41
109051,TUBO TIRADENTES,11:19
109085,TERMINAL CABRAL,11:33
109063,PRACA RUI BARBOSA,11:52
109100,TERMINAL CIC,12:25
109051,TUBO TIRADENTES,13:03
109085,TERMINAL CABRAL,13:17
109063,PRACA RUI BARBOSA,13:36
109100,TERMINAL CIC,14:09
109051,TUBO TIRADENTES,14:47
109085,TERMINAL CABRAL,15:01
109063,PRACA RUI BARBOSA,15:20
109100,TERMINAL CIC,15:53
109051,TUBO TIRADENTES,16:31
109085,TERMINAL CABRAL,16:45
109063,PRACA RUI BARBOSA,17:04
109100,TERMINAL CIC,17:37
109051,TUBO TIRADENTES,18:15
109085,TERMINAL CABRAL,18:29
109063,PRACA RUI BARBOSA,18:48
109100,TERMINAL CIC,19:25
109051,TUBO TIRADENTES,20:00
109085,TERMINAL CABRAL,20:15
109063,PRACA RUI BARBOSA,20:31
109100,TERMINAL CIC,21:04
109051,TUBO TIRADENTES,21:40
109085,TERMINAL CABRAL,21:54
109063,PRACA RUI BARBOSA,22:11
109100,TERMINAL CIC,22:50
109051,TUBO TIRADENTES,23:25
109085,TERMINAL CABRAL,23:39
109063,PRACA RUI BARBOSA,00:02
