Linha,535
Tabela,001-2
num,ponto,horario
104310,TERMINAL BOQUEIRAO,16:00
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),16:30
104310,TERMINAL BOQUEIRAO,16:57
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),17:29
104310,TERMINAL BOQUEIRAO,17:57
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),18:29
104310,TERMINAL BOQUEIRAO,18:57
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),19:34
104310,TERMINAL BOQUEIRAO,19:59
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),20:24
104310,TERMINAL BOQUEIRAO,20:49
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),21:14
104310,TERMINAL BOQUEIRAO,21:39
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),22:04
104310,TERMINAL BOQUEIRAO,22:29
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),22:54
104310,TERMINAL BOQUEIRAO,23:19
160756,BAIRRO OSTERNACK (S/BOQUEIRAO),23:44
104310,TERMINAL BOQUEIRAO,00:09
