Linha,911
Tabela,002-2
num,ponto,horario
106009,TERMINAL SANTA FELICIDADE,16:48
660104,BAIRRO PASSAUNA,17:10
106009,TERMINAL SANTA FELICIDADE,17:34
660104,BAIRRO PASSAUNA,17:56
106009,TERMINAL SANTA FELICIDADE,18:22
660104,BAIRRO PASSAUNA,18:44
106009,TERMINAL SANTA FELICIDADE,19:08
660104,BAIRRO PASSAUNA,19:28
106009,TERMINAL SANTA FELICIDADE,19:52
660104,BAIRRO PASSAUNA,20:12
106009,TERMINAL SANTA FELICIDADE,20:34
660104,BAIRRO PASSAUNA,20:52
106009,TERMINAL SANTA FELICIDADE,21:14
660104,BAIRRO PASSAUNA,21:32
106009,TERMINAL SANTA FELICIDADE,21:54
660104,BAIRRO PASSAUNA,22:12
106009,TERMINAL SANTA FELICIDADE,22:32
660104,BAIRRO PASSAUNA,22:50
106009,TERMINAL SANTA FELICIDADE,23:08
660104,BAIRRO PASSAUNA,23:26
106009,TERMINAL SANTA FELICIDADE,23:46
660104,BAIRRO PASSAUNA,00:04
106009,TERMINAL SANTA FELICIDADE,00:20
