Linha,542
Tabela,002-1
num,ponto,horario
106113,TERMINAL SITIO CERCADO,04:54
160093,BAIRRO NOVO B,05:06
106113,TERMINAL SITIO CERCADO,05:19
160093,BAIRRO NOVO B,05:31
106113,TERMINAL SITIO CERCADO,05:46
160093,BAIRRO NOVO B,05:58
106113,TERMINAL SITIO CERCADO,06:11
160093,BAIRRO NOVO B,06:23
106113,TERMINAL SITIO CERCADO,06:36
160093,BAIRRO NOVO B,06:48
106113,TERMINAL SITIO CERCADO,07:01
160093,BAIRRO NOVO B,07:13
106113,TERMINAL SITIO CERCADO,07:26
160093,BAIRRO NOVO B,07:38
106113,TERMINAL SITIO CERCADO,07:51
160093,BAIRRO NOVO B,08:03
