Linha,542
Tabela,001-1
num,ponto,horario
106113,TERMINAL SITIO CERCADO,04:45
160093,BAIRRO NOVO B,04:57
106113,TERMINAL SITIO CERCADO,05:12
160093,BAIRRO NOVO B,05:24
106113,TERMINAL SITIO CERCADO,05:36
160093,BAIRRO NOVO B,05:48
106113,TERMINAL SITIO CERCADO,06:01
160093,BAIRRO NOVO B,06:13
106113,TERMINAL SITIO CERCADO,06:26
160093,BAIRRO NOVO B,06:38
106113,TERMINAL SITIO CERCADO,06:51
160093,BAIRRO NOVO B,07:03
106113,TERMINAL SITIO CERCADO,07:16
160093,BAIRRO NOVO B,07:28
106113,TERMINAL SITIO CERCADO,07:41
160093,BAIRRO NOVO B,07:53
