Linha,814
Tabela,003-2
num,ponto,horario
104502,TERMINAL CAMPINA DO SIQUEIRA,16:25
180017,BAIRRO MOSSUNGUE,16:48
104502,TERMINAL CAMPINA DO SIQUEIRA,17:15
180017,BAIRRO MOSSUNGUE,17:38
104502,TERMINAL CAMPINA DO SIQUEIRA,18:06
180017,BAIRRO MOSSUNGUE,18:29
104502,TERMINAL CAMPINA DO SIQUEIRA,18:56
180017,BAIRRO MOSSUNGUE,19:19
104502,TERMINAL CAMPINA DO SIQUEIRA,19:39
180017,BAIRRO MOSSUNGUE,19:57
104502,TERMINAL CAMPINA DO SIQUEIRA,20:17
180017,BAIRRO MOSSUNGUE,20:36
104502,TERMINAL CAMPINA DO SIQUEIRA,20:55
180017,BAIRRO MOSSUNGUE,21:14
104502,TERMINAL CAMPINA DO SIQUEIRA,21:33
180017,BAIRRO MOSSUNGUE,21:52
104502,TERMINAL CAMPINA DO SIQUEIRA,22:11
180017,BAIRRO MOSSUNGUE,22:30
104502,TERMINAL CAMPINA DO SIQUEIRA,22:48
180017,BAIRRO MOSSUNGUE,23:06
104502,TERMINAL CAMPINA DO SIQUEIRA,23:24
180017,BAIRRO MOSSUNGUE,23:42
104502,TERMINAL CAMPINA DO SIQUEIRA,00:00
