Linha,507
Tabela,009-2
num,ponto,horario
109027,TERMINAL GUADALUPE,17:28
109102,TERMINAL BOQUEIRAO,18:01
109113,TERMINAL SITIO CERCADO,18:18
105707,TERMINAL PINHEIRINHO,18:40
109027,TERMINAL GUADALUPE,19:26
109102,TERMINAL BOQUEIRAO,19:56
109113,TERMINAL SITIO CERCADO,20:09
105707,TERMINAL PINHEIRINHO,20:25
109027,TERMINAL GUADALUPE,21:04
109102,TERMINAL BOQUEIRAO,21:31
109113,TERMINAL SITIO CERCADO,21:42
105707,TERMINAL PINHEIRINHO,21:57
109027,TERMINAL GUADALUPE,22:31
109102,TERMINAL BOQUEIRAO,22:58
109113,TERMINAL SITIO CERCADO,23:10
105707,TERMINAL PINHEIRINHO,23:25
109027,TERMINAL GUADALUPE,23:58
109102,TERMINAL BOQUEIRAO,00:25
