Linha,521
Tabela,002-2
num,ponto,horario
104908,TERMINAL CARMO,16:27
150342,BAIRRO NIVALDO BRAGA,16:52
104908,TERMINAL CARMO,17:11
150342,BAIRRO NIVALDO BRAGA,17:37
104908,TERMINAL CARMO,17:56
150342,BAIRRO NIVALDO BRAGA,18:21
104908,TERMINAL CARMO,18:40
150342,BAIRRO NIVALDO BRAGA,19:05
104908,TERMINAL CARMO,19:25
150342,BAIRRO NIVALDO BRAGA,19:48
104908,TERMINAL CARMO,20:09
150342,BAIRRO NIVALDO BRAGA,20:32
104908,TERMINAL CARMO,20:53
150342,BAIRRO NIVALDO BRAGA,21:17
104908,TERMINAL CARMO,21:37
150342,BAIRRO NIVALDO BRAGA,21:59
104908,TERMINAL CARMO,22:18
150342,BAIRRO NIVALDO BRAGA,22:41
104908,TERMINAL CARMO,22:59
150342,BAIRRO NIVALDO BRAGA,23:22
104908,TERMINAL CARMO,23:40
150342,BAIRRO NIVALDO BRAGA,00:03
104908,TERMINAL CARMO,00:21
