Linha,203
Tabela,011-1
num,ponto,horario
104801,TERMINAL CAPAO RASO,05:55
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:12
108023,ESTACAO TUBO CENTRAL/NORTE,06:29
104411,TERMINAL CABRAL/SENTIDO NORTE,06:40
105901,TERMINAL SANTA CANDIDA,07:01
104413,TERMINAL CABRAL/SENTIDO SUL,07:15
108024,ESTACAO TUBO CENTRAL/SUL,07:27
108036,ESTACAO TUBO BENTO VIANA/SUL,07:44
104801,TERMINAL CAPAO RASO,08:07
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:26
108023,ESTACAO TUBO CENTRAL/NORTE,08:45
104411,TERMINAL CABRAL/SENTIDO NORTE,08:56
