Linha,203
Tabela,002-2
num,ponto,horario
104801,TERMINAL CAPAO RASO,11:59
108035,ESTACAO TUBO BENTO VIANA/NORTE,12:17
108023,ESTACAO TUBO CENTRAL/NORTE,12:36
104411,TERMINAL CABRAL/SENTIDO NORTE,12:47
105901,TERMINAL SANTA CANDIDA,13:07
104413,TERMINAL CABRAL/SENTIDO SUL,13:21
108024,ESTACAO TUBO CENTRAL/SUL,13:33
108036,ESTACAO TUBO BENTO VIANA/SUL,13:48
104801,TERMINAL CAPAO RASO,14:11
108035,ESTACAO TUBO BENTO VIANA/NORTE,14:29
108023,ESTACAO TUBO CENTRAL/NORTE,14:48
104411,TERMINAL CABRAL/SENTIDO NORTE,14:59
105901,TERMINAL SANTA CANDIDA,15:19
104413,TERMINAL CABRAL/SENTIDO SUL,15:33
108024,ESTACAO TUBO CENTRAL/SUL,15:45
108036,ESTACAO TUBO BENTO VIANA/SUL,16:00
104801,TERMINAL CAPAO RASO,16:23
108035,ESTACAO TUBO BENTO VIANA/NORTE,16:41
108023,ESTACAO TUBO CENTRAL/NORTE,17:00
104411,TERMINAL CABRAL/SENTIDO NORTE,17:12
105901,TERMINAL SANTA CANDIDA,17:33
104413,TERMINAL CABRAL/SENTIDO SUL,17:47
108024,ESTACAO TUBO CENTRAL/SUL,17:59
108036,ESTACAO TUBO BENTO VIANA/SUL,18:15
104801,TERMINAL CAPAO RASO,18:40
108035,ESTACAO TUBO BENTO VIANA/NORTE,18:59
108023,ESTACAO TUBO CENTRAL/NORTE,19:18
104411,TERMINAL CABRAL/SENTIDO NORTE,19:29
105901,TERMINAL SANTA CANDIDA,19:49
104413,TERMINAL CABRAL/SENTIDO SUL,20:03
108024,ESTACAO TUBO CENTRAL/SUL,20:15
108036,ESTACAO TUBO BENTO VIANA/SUL,20:31
