Linha,203
Tabela,002-1
num,ponto,horario
104801,TERMINAL CAPAO RASO,05:12
108035,ESTACAO TUBO BENTO VIANA/NORTE,05:30
108023,ESTACAO TUBO CENTRAL/NORTE,05:45
104411,TERMINAL CABRAL/SENTIDO NORTE,05:56
105901,TERMINAL SANTA CANDIDA,06:18
104413,TERMINAL CABRAL/SENTIDO SUL,06:32
108024,ESTACAO TUBO CENTRAL/SUL,06:44
108036,ESTACAO TUBO BENTO VIANA/SUL,07:00
104801,TERMINAL CAPAO RASO,07:22
108035,ESTACAO TUBO BENTO VIANA/NORTE,07:40
108023,ESTACAO TUBO CENTRAL/NORTE,07:59
104411,TERMINAL CABRAL/SENTIDO NORTE,08:10
105901,TERMINAL SANTA CANDIDA,08:32
104413,TERMINAL CABRAL/SENTIDO SUL,08:46
108024,ESTACAO TUBO CENTRAL/SUL,08:58
108036,ESTACAO TUBO BENTO VIANA/SUL,09:14
