Linha,203
Tabela,009
num,ponto,horario
104801,TERMINAL CAPAO RASO,05:48
108035,ESTACAO TUBO BENTO VIANA/NORTE,06:06
108023,ESTACAO TUBO CENTRAL/NORTE,06:23
104411,TERMINAL CABRAL/SENTIDO NORTE,06:34
105901,TERMINAL SANTA CANDIDA,06:54
104413,TERMINAL CABRAL/SENTIDO SUL,07:08
108024,ESTACAO TUBO CENTRAL/SUL,07:20
108036,ESTACAO TUBO BENTO VIANA/SUL,07:37
104801,TERMINAL CAPAO RASO,08:00
108035,ESTACAO TUBO BENTO VIANA/NORTE,08:19
108023,ESTACAO TUBO CENTRAL/NORTE,08:38
104411,TERMINAL CABRAL/SENTIDO NORTE,08:50
105901,TERMINAL SANTA CANDIDA,09:11
104413,TERMINAL CABRAL/SENTIDO SUL,09:25
108024,ESTACAO TUBO CENTRAL/SUL,09:37
108036,ESTACAO TUBO BENTO VIANA/SUL,09:52
104801,TERMINAL CAPAO RASO,10:15
108035,ESTACAO TUBO BENTO VIANA/NORTE,10:33
108023,ESTACAO TUBO CENTRAL/NORTE,10:52
104411,TERMINAL CABRAL/SENTIDO NORTE,11:03
105901,TERMINAL SANTA CANDIDA,11:24
104413,TERMINAL CABRAL/SENTIDO SUL,11:38
108024,ESTACAO TUBO CENTRAL/SUL,11:50
108036,ESTACAO TUBO BENTO VIANA/SUL,12:05
104801,TERMINAL CAPAO RASO,12:28
108035,ESTACAO TUBO BENTO VIANA/NORTE,12:46
108023,ESTACAO TUBO CENTRAL/NORTE,13:05
104411,TERMINAL CABRAL/SENTIDO NORTE,13:16
105901,TERMINAL SANTA CANDIDA,13:36
104413,TERMINAL CABRAL/SENTIDO SUL,13:50
108024,ESTACAO TUBO CENTRAL/SUL,14:02
108036,ESTACAO TUBO BENTO VIANA/SUL,14:17
104801,TERMINAL CAPAO RASO,14:40
108035,ESTACAO TUBO BENTO VIANA/NORTE,14:58
108023,ESTACAO TUBO CENTRAL/NORTE,15:17
104411,TERMINAL CABRAL/SENTIDO NORTE,15:28
105901,TERMINAL SANTA CANDIDA,15:48
104413,TERMINAL CABRAL/SENTIDO SUL,16:02
108024,ESTACAO TUBO CENTRAL/SUL,16:14
108036,ESTACAO TUBO BENTO VIANA/SUL,16:29
104801,TERMINAL CAPAO RASO,16:52
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:11
108023,ESTACAO TUBO CENTRAL/NORTE,17:30
104411,TERMINAL CABRAL/SENTIDO NORTE,17:42
105901,TERMINAL SANTA CANDIDA,18:04
104413,TERMINAL CABRAL/SENTIDO SUL,18:18
108024,ESTACAO TUBO CENTRAL/SUL,18:30
108036,ESTACAO TUBO BENTO VIANA/SUL,18:46
104801,TERMINAL CAPAO RASO,19:11
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:29
108023,ESTACAO TUBO CENTRAL/NORTE,19:47
104411,TERMINAL CABRAL/SENTIDO NORTE,19:58
105901,TERMINAL SANTA CANDIDA,20:18
104413,TERMINAL CABRAL/SENTIDO SUL,20:30
108024,ESTACAO TUBO CENTRAL/SUL,20:42
108036,ESTACAO TUBO BENTO VIANA/SUL,20:57
