Linha,338
Tabela,001
num,ponto,horario
105509,TERMINAL HAUER,05:10
105104,TERMINAL CENTENARIO,05:42
105509,TERMINAL HAUER,06:20
105104,TERMINAL CENTENARIO,06:57
105509,TERMINAL HAUER,07:35
105104,TERMINAL CENTENARIO,08:12
105509,TERMINAL HAUER,08:50
105104,TERMINAL CENTENARIO,09:27
105509,TERMINAL HAUER,10:05
105104,TERMINAL CENTENARIO,10:42
105509,TERMINAL HAUER,11:20
105104,TERMINAL CENTENARIO,11:57
105509,TERMINAL HAUER,12:35
105104,TERMINAL CENTENARIO,13:12
105509,TERMINAL HAUER,13:50
105104,TERMINAL CENTENARIO,14:27
105509,TERMINAL HAUER,15:05
105104,TERMINAL CENTENARIO,15:42
105509,TERMINAL HAUER,16:20
105104,TERMINAL CENTENARIO,16:57
105509,TERMINAL HAUER,17:35
105104,TERMINAL CENTENARIO,18:12
105509,TERMINAL HAUER,18:50
105104,TERMINAL CENTENARIO,19:27
105509,TERMINAL HAUER,20:05
105104,TERMINAL CENTENARIO,20:42
105509,TERMINAL HAUER,21:20
105104,TERMINAL CENTENARIO,21:57
105509,TERMINAL HAUER,22:35
105104,TERMINAL CENTENARIO,23:12
105509,TERMINAL HAUER,23:50
105104,TERMINAL CENTENARIO,00:35
