Linha,526
Tabela,004
num,ponto,horario
105507,TERMINAL HAUER,05:22
104811,TERMINAL CAPAO RASO,06:24
105507,TERMINAL HAUER,07:20
104811,TERMINAL CAPAO RASO,08:22
105507,TERMINAL HAUER,09:16
104811,TERMINAL CAPAO RASO,10:04
105507,TERMINAL HAUER,10:58
104811,TERMINAL CAPAO RASO,11:48
105507,TERMINAL HAUER,12:40
104811,TERMINAL CAPAO RASO,13:30
105507,TERMINAL HAUER,14:22
104811,TERMINAL CAPAO RASO,15:12
105507,TERMINAL HAUER,16:03
104811,TERMINAL CAPAO RASO,17:01
105507,TERMINAL HAUER,18:03
104811,TERMINAL CAPAO RASO,19:00
105507,TERMINAL HAUER,19:58
104811,TERMINAL CAPAO RASO,20:43
105507,TERMINAL HAUER,21:31
104811,TERMINAL CAPAO RASO,22:19
105507,TERMINAL HAUER,23:08
104811,TERMINAL CAPAO RASO,23:57
