Linha,236
Tabela,001-1
num,ponto,horario
121008,BAIRRO SAO BENEDITO,05:08
105904,TERMINAL SANTA CANDIDA,05:30
121008,BAIRRO SAO BENEDITO,05:52
105904,TERMINAL SANTA CANDIDA,06:15
121008,BAIRRO SAO BENEDITO,06:33
105904,TERMINAL SANTA CANDIDA,06:59
121008,BAIRRO SAO BENEDITO,07:20
105904,TERMINAL SANTA CANDIDA,07:47
121008,BAIRRO SAO BENEDITO,08:10
105904,TERMINAL SANTA CANDIDA,08:35
121008,BAIRRO SAO BENEDITO,08:55
105904,TERMINAL SANTA CANDIDA,09:18
121008,BAIRRO SAO BENEDITO,09:38
105904,TERMINAL SANTA CANDIDA,10:01
121008,BAIRRO SAO BENEDITO,10:21
105904,TERMINAL SANTA CANDIDA,10:44
121008,BAIRRO SAO BENEDITO,11:04
105904,TERMINAL SANTA CANDIDA,11:27
121008,BAIRRO SAO BENEDITO,11:49
105904,TERMINAL SANTA CANDIDA,12:12
121008,BAIRRO SAO BENEDITO,12:34
105904,TERMINAL SANTA CANDIDA,12:57
121008,BAIRRO SAO BENEDITO,13:19
