Linha,236
Tabela,003-2
num,ponto,horario
105904,TERMINAL SANTA CANDIDA,11:50
121008,BAIRRO SAO BENEDITO,12:12
105904,TERMINAL SANTA CANDIDA,12:35
121008,BAIRRO SAO BENEDITO,12:57
105904,TERMINAL SANTA CANDIDA,13:20
121008,BAIRRO SAO BENEDITO,13:41
105904,TERMINAL SANTA CANDIDA,14:03
121008,BAIRRO SAO BENEDITO,14:23
105904,TERMINAL SANTA CANDIDA,14:46
121008,BAIRRO SAO BENEDITO,15:06
105904,TERMINAL SANTA CANDIDA,15:29
121008,BAIRRO SAO BENEDITO,15:49
105904,TERMINAL SANTA CANDIDA,16:12
121008,BAIRRO SAO BENEDITO,16:32
105904,TERMINAL SANTA CANDIDA,16:54
121008,BAIRRO SAO BENEDITO,17:16
105904,TERMINAL SANTA CANDIDA,17:42
121008,BAIRRO SAO BENEDITO,18:04
105904,TERMINAL SANTA CANDIDA,18:30
121008,BAIRRO SAO BENEDITO,18:52
105904,TERMINAL SANTA CANDIDA,19:18
