Linha,603
Tabela,008
num,ponto,horario
108216,PRACA RUI BARBOSA,05:40
105701,TERMINAL PINHEIRINHO,06:15
108216,PRACA RUI BARBOSA,06:52
105701,TERMINAL PINHEIRINHO,07:27
108216,PRACA RUI BARBOSA,08:05
105701,TERMINAL PINHEIRINHO,08:40
108216,PRACA RUI BARBOSA,09:15
105701,TERMINAL PINHEIRINHO,09:53
108216,PRACA RUI BARBOSA,10:30
105701,TERMINAL PINHEIRINHO,11:08
108216,PRACA RUI BARBOSA,11:45
105701,TERMINAL PINHEIRINHO,12:23
108216,PRACA RUI BARBOSA,13:00
105701,TERMINAL PINHEIRINHO,13:38
108216,PRACA RUI BARBOSA,14:15
105701,TERMINAL PINHEIRINHO,14:53
108216,PRACA RUI BARBOSA,15:30
105701,TERMINAL PINHEIRINHO,16:08
108216,PRACA RUI BARBOSA,16:45
105701,TERMINAL PINHEIRINHO,17:26
108216,PRACA RUI BARBOSA,18:03
105701,TERMINAL PINHEIRINHO,18:44
108216,PRACA RUI BARBOSA,19:21
