Linha,701
Tabela,004-2
num,ponto,horario
102015,PRACA RUI BARBOSA,16:16
105301,TERMINAL FAZENDINHA,16:56
102015,PRACA RUI BARBOSA,17:34
105301,TERMINAL FAZENDINHA,18:21
102015,PRACA RUI BARBOSA,18:59
105301,TERMINAL FAZENDINHA,19:39
102015,PRACA RUI BARBOSA,20:14
105301,TERMINAL FAZENDINHA,20:47
102015,PRACA RUI BARBOSA,21:11
105301,TERMINAL FAZENDINHA,21:39
102015,PRACA RUI BARBOSA,22:04
105301,TERMINAL FAZENDINHA,22:32
102015,PRACA RUI BARBOSA,22:56
105301,TERMINAL FAZENDINHA,23:24
102015,PRACA RUI BARBOSA,23:48
