Linha,203
Tabela,005
num,ponto,horario
105901,TERMINAL SANTA CANDIDA,05:59
104413,TERMINAL CABRAL/SENTIDO SUL,06:11
108024,ESTACAO TUBO CENTRAL/SUL,06:24
108036,ESTACAO TUBO BENTO VIANA/SUL,06:37
104801,TERMINAL CAPAO RASO,07:00
108035,ESTACAO TUBO BENTO VIANA/NORTE,07:18
108023,ESTACAO TUBO CENTRAL/NORTE,07:31
104411,TERMINAL CABRAL/SENTIDO NORTE,07:42
105901,TERMINAL SANTA CANDIDA,08:00
104413,TERMINAL CABRAL/SENTIDO SUL,08:13
108024,ESTACAO TUBO CENTRAL/SUL,08:25
108036,ESTACAO TUBO BENTO VIANA/SUL,08:38
104801,TERMINAL CAPAO RASO,09:00
108035,ESTACAO TUBO BENTO VIANA/NORTE,09:18
108023,ESTACAO TUBO CENTRAL/NORTE,09:31
104411,TERMINAL CABRAL/SENTIDO NORTE,09:42
105901,TERMINAL SANTA CANDIDA,10:00
104413,TERMINAL CABRAL/SENTIDO SUL,10:13
108024,ESTACAO TUBO CENTRAL/SUL,10:25
108036,ESTACAO TUBO BENTO VIANA/SUL,10:38
104801,TERMINAL CAPAO RASO,11:00
108035,ESTACAO TUBO BENTO VIANA/NORTE,11:18
108023,ESTACAO TUBO CENTRAL/NORTE,11:31
104411,TERMINAL CABRAL/SENTIDO NORTE,11:42
105901,TERMINAL SANTA CANDIDA,12:00
104413,TERMINAL CABRAL/SENTIDO SUL,12:13
108024,ESTACAO TUBO CENTRAL/SUL,12:25
108036,ESTACAO TUBO BENTO VIANA/SUL,12:38
104801,TERMINAL CAPAO RASO,13:00
108035,ESTACAO TUBO BENTO VIANA/NORTE,13:18
108023,ESTACAO TUBO CENTRAL/NORTE,13:31
104411,TERMINAL CABRAL/SENTIDO NORTE,13:42
105901,TERMINAL SANTA CANDIDA,14:00
104413,TERMINAL CABRAL/SENTIDO SUL,14:13
108024,ESTACAO TUBO CENTRAL/SUL,14:25
108036,ESTACAO TUBO BENTO VIANA/SUL,14:38
104801,TERMINAL CAPAO RASO,15:00
108035,ESTACAO TUBO BENTO VIANA/NORTE,15:18
108023,ESTACAO TUBO CENTRAL/NORTE,15:31
104411,TERMINAL CABRAL/SENTIDO NORTE,15:42
105901,TERMINAL SANTA CANDIDA,16:00
104413,TERMINAL CABRAL/SENTIDO SUL,16:13
108024,ESTACAO TUBO CENTRAL/SUL,16:25
108036,ESTACAO TUBO BENTO VIANA/SUL,16:38
104801,TERMINAL CAPAO RASO,17:00
108035,ESTACAO TUBO BENTO VIANA/NORTE,17:18
108023,ESTACAO TUBO CENTRAL/NORTE,17:31
104411,TERMINAL CABRAL/SENTIDO NORTE,17:42
105901,TERMINAL SANTA CANDIDA,18:00
104413,TERMINAL CABRAL/SENTIDO SUL,18:13
108024,ESTACAO TUBO CENTRAL/SUL,18:25
108036,ESTACAO TUBO BENTO VIANA/SUL,18:38
104801,TERMINAL CAPAO RASO,19:00
108035,ESTACAO TUBO BENTO VIANA/NORTE,19:18
108023,ESTACAO TUBO CENTRAL/NORTE,19:31
104411,TERMINAL CABRAL/SENTIDO NORTE,19:42
105901,TERMINAL SANTA CANDIDA,20:00
104413,TERMINAL CABRAL/SENTIDO SUL,20:12
108024,ESTACAO TUBO CENTRAL/SUL,20:24
108036,ESTACAO TUBO BENTO VIANA/SUL,20:35
104801,TERMINAL CAPAO RASO,20:56
108035,ESTACAO TUBO BENTO VIANA/NORTE,21:13
108023,ESTACAO TUBO CENTRAL/NORTE,21:26
104411,TERMINAL CABRAL/SENTIDO NORTE,21:36
105901,TERMINAL SANTA CANDIDA,21:56
104413,TERMINAL CABRAL/SENTIDO SUL,22:08
108024,ESTACAO TUBO CENTRAL/SUL,22:20
108036,ESTACAO TUBO BENTO VIANA/SUL,22:31
104801,TERMINAL CAPAO RASO,22:52
108035,ESTACAO TUBO BENTO VIANA/NORTE,23:09
108023,ESTACAO TUBO CENTRAL/NORTE,23:22
104411,TERMINAL CABRAL/SENTIDO NORTE,23:32
105901,TERMINAL SANTA CANDIDA,23:50
104413,TERMINAL CABRAL/SENTIDO SUL,00:02
108024,ESTACAO TUBO CENTRAL/SUL,00:14
108036,ESTACAO TUBO BENTO VIANA/SUL,00:25
