Linha,250
Tabela,017-2
num,ponto,horario
104413,TERMINAL CABRAL/SENTIDO SUL,16:36
108024,ESTACAO TUBO CENTRAL/SUL,16:45
105933,TERMINAL PINHEIRINHO,17:22
108023,ESTACAO TUBO CENTRAL/NORTE,17:51
105934,TERMINAL SANTA CANDIDA,18:16
108024,ESTACAO TUBO CENTRAL/SUL,18:34
105933,TERMINAL PINHEIRINHO,19:10
108023,ESTACAO TUBO CENTRAL/NORTE,19:39
105934,TERMINAL SANTA CANDIDA,20:05
108024,ESTACAO TUBO CENTRAL/SUL,20:23
105933,TERMINAL PINHEIRINHO,21:00
108023,ESTACAO TUBO CENTRAL/NORTE,21:28
105934,TERMINAL SANTA CANDIDA,21:50
108024,ESTACAO TUBO CENTRAL/SUL,22:08
105933,TERMINAL PINHEIRINHO,22:45
108023,ESTACAO TUBO CENTRAL/NORTE,23:12
