Linha,250
Tabela,011-2
num,ponto,horario
105933,TERMINAL PINHEIRINHO,16:32
108023,ESTACAO TUBO CENTRAL/NORTE,17:01
105934,TERMINAL SANTA CANDIDA,17:26
108024,ESTACAO TUBO CENTRAL/SUL,17:46
105933,TERMINAL PINHEIRINHO,18:25
108023,ESTACAO TUBO CENTRAL/NORTE,18:54
105934,TERMINAL SANTA CANDIDA,19:18
108024,ESTACAO TUBO CENTRAL/SUL,19:36
105933,TERMINAL PINHEIRINHO,20:15
108023,ESTACAO TUBO CENTRAL/NORTE,20:43
105934,TERMINAL SANTA CANDIDA,21:05
108024,ESTACAO TUBO CENTRAL/SUL,21:23
105933,TERMINAL PINHEIRINHO,22:00
108023,ESTACAO TUBO CENTRAL/NORTE,22:28
105934,TERMINAL SANTA CANDIDA,22:50
108024,ESTACAO TUBO CENTRAL/SUL,23:08
