Linha,250
Tabela,022-2
num,ponto,horario
104413,TERMINAL CABRAL/SENTIDO SUL,17:07
108024,ESTACAO TUBO CENTRAL/SUL,17:16
105933,TERMINAL PINHEIRINHO,17:55
108023,ESTACAO TUBO CENTRAL/NORTE,18:24
105934,TERMINAL SANTA CANDIDA,18:47
108024,ESTACAO TUBO CENTRAL/SUL,19:06
105933,TERMINAL PINHEIRINHO,19:43
108023,ESTACAO TUBO CENTRAL/NORTE,20:11
105934,TERMINAL SANTA CANDIDA,20:35
108024,ESTACAO TUBO CENTRAL/SUL,20:53
105933,TERMINAL PINHEIRINHO,21:30
108023,ESTACAO TUBO CENTRAL/NORTE,21:58
105934,TERMINAL SANTA CANDIDA,22:20
108024,ESTACAO TUBO CENTRAL/SUL,22:38
