Linha,250
Tabela,008-2
num,ponto,horario
105933,TERMINAL PINHEIRINHO,16:18
108023,ESTACAO TUBO CENTRAL/NORTE,16:46
105934,TERMINAL SANTA CANDIDA,17:10
108024,ESTACAO TUBO CENTRAL/SUL,17:29
105933,TERMINAL PINHEIRINHO,18:07
108023,ESTACAO TUBO CENTRAL/NORTE,18:37
105934,TERMINAL SANTA CANDIDA,19:02
108024,ESTACAO TUBO CENTRAL/SUL,19:21
105933,TERMINAL PINHEIRINHO,19:59
108023,ESTACAO TUBO CENTRAL/NORTE,20:28
105934,TERMINAL SANTA CANDIDA,20:50
108024,ESTACAO TUBO CENTRAL/SUL,21:08
105933,TERMINAL PINHEIRINHO,21:45
108023,ESTACAO TUBO CENTRAL/NORTE,22:13
105934,TERMINAL SANTA CANDIDA,22:35
108024,ESTACAO TUBO CENTRAL/SUL,22:53
