Linha,553
Tabela,001-2
num,ponto,horario
106106,TERMINAL SITIO CERCADO,16:49
160770,MORADIAS PQ. IGUAÇU,17:18
106106,TERMINAL SITIO CERCADO,17:45
160770,MORADIAS PQ. IGUAÇU,18:16
106106,TERMINAL SITIO CERCADO,18:44
160770,MORADIAS PQ. IGUAÇU,19:13
106106,TERMINAL SITIO CERCADO,19:41
160770,MORADIAS PQ. IGUAÇU,20:10
106106,TERMINAL SITIO CERCADO,20:36
160770,MORADIAS PQ. IGUAÇU,21:01
106106,TERMINAL SITIO CERCADO,21:27
160770,MORADIAS PQ. IGUAÇU,21:51
106106,TERMINAL SITIO CERCADO,22:17
160770,MORADIAS PQ. IGUAÇU,22:41
106106,TERMINAL SITIO CERCADO,23:06
160770,MORADIAS PQ. IGUAÇU,23:30
106106,TERMINAL SITIO CERCADO,23:55
