Linha,553
Tabela,004-2
num,ponto,horario
106106,TERMINAL SITIO CERCADO,16:28
160770,MORADIAS PQ. IGUAÇU,16:55
106106,TERMINAL SITIO CERCADO,17:23
160770,MORADIAS PQ. IGUAÇU,17:53
106106,TERMINAL SITIO CERCADO,18:21
160770,MORADIAS PQ. IGUAÇU,18:50
106106,TERMINAL SITIO CERCADO,19:18
160770,MORADIAS PQ. IGUAÇU,19:44
106106,TERMINAL SITIO CERCADO,20:10
160770,MORADIAS PQ. IGUAÇU,20:35
106106,TERMINAL SITIO CERCADO,21:01
160770,MORADIAS PQ. IGUAÇU,21:26
106106,TERMINAL SITIO CERCADO,21:52
160770,MORADIAS PQ. IGUAÇU,22:16
106106,TERMINAL SITIO CERCADO,22:41
160770,MORADIAS PQ. IGUAÇU,23:05
106106,TERMINAL SITIO CERCADO,23:30
160770,MORADIAS PQ. IGUAÇU,23:54
106106,TERMINAL SITIO CERCADO,00:20
