Linha,649
Tabela,003-2
num,ponto,horario
105711,TERMINAL PINHEIRINHO,17:03
106111,TERMINAL SITIO CERCADO,17:33
105711,TERMINAL PINHEIRINHO,18:01
106111,TERMINAL SITIO CERCADO,18:32
105711,TERMINAL PINHEIRINHO,19:01
106111,TERMINAL SITIO CERCADO,19:36
105711,TERMINAL PINHEIRINHO,20:08
106111,TERMINAL SITIO CERCADO,20:35
105711,TERMINAL PINHEIRINHO,21:02
106111,TERMINAL SITIO CERCADO,21:29
105711,TERMINAL PINHEIRINHO,21:56
106111,TERMINAL SITIO CERCADO,22:22
105711,TERMINAL PINHEIRINHO,22:48
106111,TERMINAL SITIO CERCADO,23:14
105711,TERMINAL PINHEIRINHO,23:40
106111,TERMINAL SITIO CERCADO,00:05
