Linha,630
Tabela,001-2
num,ponto,horario
105728,TERMINAL PINHEIRINHO,17:05
170371,VITORIA REGIA,17:29
105728,TERMINAL PINHEIRINHO,18:16
170371,VITORIA REGIA,18:38
105728,TERMINAL PINHEIRINHO,19:17
170371,VITORIA REGIA,19:40
105728,TERMINAL PINHEIRINHO,20:11
170371,VITORIA REGIA,20:27
105728,TERMINAL PINHEIRINHO,20:54
170371,VITORIA REGIA,21:10
105728,TERMINAL PINHEIRINHO,21:37
170371,VITORIA REGIA,21:53
105728,TERMINAL PINHEIRINHO,22:24
170371,VITORIA REGIA,22:40
105728,TERMINAL PINHEIRINHO,23:13
170371,VITORIA REGIA,23:29
105728,TERMINAL PINHEIRINHO,00:22
