Linha,762
Tabela,002-2
num,ponto,horario
102011,PRACA RUI BARBOSA,17:07
180621,BAIRRO VILA ROSINHA,17:49
102011,PRACA RUI BARBOSA,18:27
180621,BAIRRO VILA ROSINHA,19:07
102011,PRACA RUI BARBOSA,19:37
180621,BAIRRO VILA ROSINHA,20:10
102011,PRACA RUI BARBOSA,20:38
180621,BAIRRO VILA ROSINHA,21:08
102011,PRACA RUI BARBOSA,21:36
180621,BAIRRO VILA ROSINHA,22:04
102011,PRACA RUI BARBOSA,22:31
180621,BAIRRO VILA ROSINHA,22:58
102011,PRACA RUI BARBOSA,23:25
180621,BAIRRO VILA ROSINHA,23:51
102011,PRACA RUI BARBOSA,00:14
