Linha,684
Tabela,002-2
num,ponto,horario
105924,TERMINAL PINHEIRINHO,16:26
170532,BAIRRO RIO BONITO,16:55
105924,TERMINAL PINHEIRINHO,17:46
170532,BAIRRO RIO BONITO,18:18
105924,TERMINAL PINHEIRINHO,19:10
170532,BAIRRO RIO BONITO,19:40
105924,TERMINAL PINHEIRINHO,20:20
170532,BAIRRO RIO BONITO,20:44
105924,TERMINAL PINHEIRINHO,21:20
170532,BAIRRO RIO BONITO,21:44
105924,TERMINAL PINHEIRINHO,22:20
170532,BAIRRO RIO BONITO,22:45
105924,TERMINAL PINHEIRINHO,23:21
170532,BAIRRO RIO BONITO,23:44
105924,TERMINAL PINHEIRINHO,00:20
