Linha,303
Tabela,006-2
num,ponto,horario
105101,TERMINAL CENTENARIO,16:05
108030,ESTACAO TUBO R.BARBOSA/OESTE,16:37
104601,TERMINAL CAMPO COMPRIDO,17:12
108169,ESTACAO TUBO R. BARBOSA/LESTE,17:43
105101,TERMINAL CENTENARIO,18:22
108030,ESTACAO TUBO R.BARBOSA/OESTE,19:00
104601,TERMINAL CAMPO COMPRIDO,19:35
108169,ESTACAO TUBO R. BARBOSA/LESTE,20:02
105101,TERMINAL CENTENARIO,20:32
108030,ESTACAO TUBO R.BARBOSA/OESTE,21:02
104601,TERMINAL CAMPO COMPRIDO,21:34
108169,ESTACAO TUBO R. BARBOSA/LESTE,22:01
105101,TERMINAL CENTENARIO,22:36
108030,ESTACAO TUBO R.BARBOSA/OESTE,23:06
104601,TERMINAL CAMPO COMPRIDO,23:45
108169,ESTACAO TUBO R. BARBOSA/LESTE,00:10
