Linha,303
Tabela,026-2
num,ponto,horario
108030,ESTACAO TUBO R.BARBOSA/OESTE,16:02
104601,TERMINAL CAMPO COMPRIDO,16:37
108169,ESTACAO TUBO R. BARBOSA/LESTE,17:07
105101,TERMINAL CENTENARIO,17:44
108030,ESTACAO TUBO R.BARBOSA/OESTE,18:22
104601,TERMINAL CAMPO COMPRIDO,18:58
108169,ESTACAO TUBO R. BARBOSA/LESTE,19:27
105101,TERMINAL CENTENARIO,20:01
108030,ESTACAO TUBO R.BARBOSA/OESTE,20:33
104601,TERMINAL CAMPO COMPRIDO,21:10
108169,ESTACAO TUBO R. BARBOSA/LESTE,21:38
105101,TERMINAL CENTENARIO,22:12
108030,ESTACAO TUBO R.BARBOSA/OESTE,22:42
104601,TERMINAL CAMPO COMPRIDO,23:14
108169,ESTACAO TUBO R. BARBOSA/LESTE,23:41
