Linha,506
Tabela,001
num,ponto,horario
109038,TUBO OSTERNACK,05:45
109112,TERMINAL SITIO CERCADO,05:55
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,06:31
109114,TERM.S.CERCADO(SENT.OSTERNACK),07:06
109038,TUBO OSTERNACK,07:17
109112,TERMINAL SITIO CERCADO,07:28
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,08:10
109114,TERM.S.CERCADO(SENT.OSTERNACK),08:46
109038,TUBO OSTERNACK,09:01
109112,TERMINAL SITIO CERCADO,09:12
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,09:51
109114,TERM.S.CERCADO(SENT.OSTERNACK),10:27
109038,TUBO OSTERNACK,10:41
109112,TERMINAL SITIO CERCADO,10:52
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,11:30
109114,TERM.S.CERCADO(SENT.OSTERNACK),12:06
109038,TUBO OSTERNACK,12:21
109112,TERMINAL SITIO CERCADO,12:32
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,13:10
109114,TERM.S.CERCADO(SENT.OSTERNACK),13:46
109038,TUBO OSTERNACK,14:01
109112,TERMINAL SITIO CERCADO,14:12
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,14:50
109114,TERM.S.CERCADO(SENT.OSTERNACK),15:25
109038,TUBO OSTERNACK,15:35
109112,TERMINAL SITIO CERCADO,15:46
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,16:26
109114,TERM.S.CERCADO(SENT.OSTERNACK),17:01
109038,TUBO OSTERNACK,17:15
109112,TERMINAL SITIO CERCADO,17:25
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,18:02
109114,TERM.S.CERCADO(SENT.OSTERNACK),18:37
109038,TUBO OSTERNACK,18:51
109112,TERMINAL SITIO CERCADO,19:01
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,19:38
109114,TERM.S.CERCADO(SENT.OSTERNACK),20:13
109038,TUBO OSTERNACK,20:27
109112,TERMINAL SITIO CERCADO,20:37
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,21:14
109114,TERM.S.CERCADO(SENT.OSTERNACK),21:49
109038,TUBO OSTERNACK,22:05
109112,TERMINAL SITIO CERCADO,22:14
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,22:50
109114,TERM.S.CERCADO(SENT.OSTERNACK),23:22
