Linha,040
Tabela,002-2
num,ponto,horario
105309,TERM.FAZENDINHA/TERM. CIC,16:48
105211,TERMINAL CIC/TERM.PINHEIRINHO,17:11
105718,TERMINAL PINHEIRINHO,17:30
105206,TERMINAL CIC/TERM.FAZENDINHA,17:40
105316,TERM.FAZENDINHA/TERM.C.COMPRID,18:02
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,18:30
106001,TERMINAL SANTA FELICIDADE,18:58
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,19:20
105309,TERM.FAZENDINHA/TERM. CIC,19:42
105211,TERMINAL CIC/TERM.PINHEIRINHO,19:58
105718,TERMINAL PINHEIRINHO,20:13
105206,TERMINAL CIC/TERM.FAZENDINHA,20:23
105316,TERM.FAZENDINHA/TERM.C.COMPRID,20:38
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,20:58
106001,TERMINAL SANTA FELICIDADE,21:19
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,21:41
105309,TERM.FAZENDINHA/TERM. CIC,22:03
105211,TERMINAL CIC/TERM.PINHEIRINHO,22:20
105718,TERMINAL PINHEIRINHO,22:37
105206,TERMINAL CIC/TERM.FAZENDINHA,22:47
105316,TERM.FAZENDINHA/TERM.C.COMPRID,23:02
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,23:23
106001,TERMINAL SANTA FELICIDADE,23:43
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,00:05
105309,TERM.FAZENDINHA/TERM. CIC,00:26
105211,TERMINAL CIC/TERM.PINHEIRINHO,00:50
