Linha,040
Tabela,022-2
num,ponto,horario
106001,TERMINAL SANTA FELICIDADE,16:17
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,16:43
105309,TERM.FAZENDINHA/TERM. CIC,17:11
105211,TERMINAL CIC/TERM.PINHEIRINHO,17:34
105718,TERMINAL PINHEIRINHO,17:55
105206,TERMINAL CIC/TERM.FAZENDINHA,18:04
105316,TERM.FAZENDINHA/TERM.C.COMPRID,18:27
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,18:55
106001,TERMINAL SANTA FELICIDADE,19:24
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,19:44
105309,TERM.FAZENDINHA/TERM. CIC,20:04
105211,TERMINAL CIC/TERM.PINHEIRINHO,20:19
105718,TERMINAL PINHEIRINHO,20:31
105206,TERMINAL CIC/TERM.FAZENDINHA,20:41
105316,TERM.FAZENDINHA/TERM.C.COMPRID,20:56
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,21:16
106001,TERMINAL SANTA FELICIDADE,21:37
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,21:59
105309,TERM.FAZENDINHA/TERM. CIC,22:21
105211,TERMINAL CIC/TERM.PINHEIRINHO,22:38
105718,TERMINAL PINHEIRINHO,22:55
105206,TERMINAL CIC/TERM.FAZENDINHA,23:06
105316,TERM.FAZENDINHA/TERM.C.COMPRID,23:21
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,23:42
106001,TERMINAL SANTA FELICIDADE,00:01
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,00:23
105309,TERM.FAZENDINHA/TERM. CIC,00:45
