Linha,040
Tabela,009-2
num,ponto,horario
105316,TERM.FAZENDINHA/TERM.C.COMPRID,15:57
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,16:20
106001,TERMINAL SANTA FELICIDADE,16:46
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,17:13
105309,TERM.FAZENDINHA/TERM. CIC,17:41
105211,TERMINAL CIC/TERM.PINHEIRINHO,18:04
105718,TERMINAL PINHEIRINHO,18:25
105206,TERMINAL CIC/TERM.FAZENDINHA,18:34
105316,TERM.FAZENDINHA/TERM.C.COMPRID,18:55
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,19:24
106001,TERMINAL SANTA FELICIDADE,19:49
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,20:11
105309,TERM.FAZENDINHA/TERM. CIC,20:33
105211,TERMINAL CIC/TERM.PINHEIRINHO,20:50
105718,TERMINAL PINHEIRINHO,21:07
105206,TERMINAL CIC/TERM.FAZENDINHA,21:16
105316,TERM.FAZENDINHA/TERM.C.COMPRID,21:31
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,21:51
106001,TERMINAL SANTA FELICIDADE,22:13
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,22:35
105309,TERM.FAZENDINHA/TERM. CIC,22:57
105211,TERMINAL CIC/TERM.PINHEIRINHO,23:14
