Linha,040
Tabela,006-2
num,ponto,horario
105211,TERMINAL CIC/TERM.PINHEIRINHO,16:20
105718,TERMINAL PINHEIRINHO,16:35
105206,TERMINAL CIC/TERM.FAZENDINHA,16:44
105316,TERM.FAZENDINHA/TERM.C.COMPRID,17:02
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,17:26
106001,TERMINAL SANTA FELICIDADE,17:59
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,18:27
105309,TERM.FAZENDINHA/TERM. CIC,18:51
105211,TERMINAL CIC/TERM.PINHEIRINHO,19:14
105718,TERMINAL PINHEIRINHO,19:31
105206,TERMINAL CIC/TERM.FAZENDINHA,19:41
105316,TERM.FAZENDINHA/TERM.C.COMPRID,19:57
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,20:21
106001,TERMINAL SANTA FELICIDADE,20:43
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,21:05
105309,TERM.FAZENDINHA/TERM. CIC,21:27
105211,TERMINAL CIC/TERM.PINHEIRINHO,21:44
105718,TERMINAL PINHEIRINHO,22:01
105206,TERMINAL CIC/TERM.FAZENDINHA,22:10
105316,TERM.FAZENDINHA/TERM.C.COMPRID,22:25
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,22:45
106001,TERMINAL SANTA FELICIDADE,23:07
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,23:29
105309,TERM.FAZENDINHA/TERM. CIC,23:51
105211,TERMINAL CIC/TERM.PINHEIRINHO,00:09
105718,TERMINAL PINHEIRINHO,00:25
