Linha,040
Tabela,022-1
num,ponto,horario
106001,TERMINAL SANTA FELICIDADE,05:00
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,05:28
105309,TERM.FAZENDINHA/TERM. CIC,05:49
105211,TERMINAL CIC/TERM.PINHEIRINHO,06:07
105718,TERMINAL PINHEIRINHO,06:25
105206,TERMINAL CIC/TERM.FAZENDINHA,06:34
105316,TERM.FAZENDINHA/TERM.C.COMPRID,06:54
104603,TERM.C.COMPRIDO/TERM.STA.FELIC,07:20
106001,TERMINAL SANTA FELICIDADE,07:47
104612,TERM.C.COMPRIDO/TERM.FAZENDINH,08:12
105309,TERM.FAZENDINHA/TERM. CIC,08:37
105211,TERMINAL CIC/TERM.PINHEIRINHO,08:57
