Linha,673
Tabela,002-2
num,ponto,horario
170114,BAIRRO FORMOSA,15:55
102029,PRACA RUI BARBOSA,16:30
170114,BAIRRO FORMOSA,17:12
102029,PRACA RUI BARBOSA,17:47
170114,BAIRRO FORMOSA,18:32
102029,PRACA RUI BARBOSA,19:05
170114,BAIRRO FORMOSA,19:45
102029,PRACA RUI BARBOSA,20:15
170114,BAIRRO FORMOSA,20:45
102029,PRACA RUI BARBOSA,21:15
170114,BAIRRO FORMOSA,21:45
102029,PRACA RUI BARBOSA,22:15
170114,BAIRRO FORMOSA,22:45
102029,PRACA RUI BARBOSA,23:15
170114,BAIRRO FORMOSA,23:45
102029,PRACA RUI BARBOSA,00:15
