Linha,342
Tabela,002-2
num,ponto,horario
104203,TERMINAL BOA VISTA,15:55
104005,TERMINAL BAIRRO ALTO,16:29
104203,TERMINAL BOA VISTA,17:08
104005,TERMINAL BAIRRO ALTO,17:47
104203,TERMINAL BOA VISTA,18:26
104005,TERMINAL BAIRRO ALTO,19:05
104203,TERMINAL BOA VISTA,19:42
104005,TERMINAL BAIRRO ALTO,20:10
104203,TERMINAL BOA VISTA,20:40
104005,TERMINAL BAIRRO ALTO,21:10
104203,TERMINAL BOA VISTA,21:40
104005,TERMINAL BAIRRO ALTO,22:10
104203,TERMINAL BOA VISTA,22:40
104005,TERMINAL BAIRRO ALTO,23:10
104203,TERMINAL BOA VISTA,23:40
104005,TERMINAL BAIRRO ALTO,00:10
