Linha,X07
Tabela,1
num,ponto,horario
160183,RUA GUAÇUI (PONTO INICIAL X07),05:00
160756,BAIRRO OSTERNACK (X07),05:03
106115,TERMINAL SITIO CERCADO,05:17
160756,BAIRRO OSTERNACK (X07),05:34
106115,TERMINAL SITIO CERCADO,05:51
160756,BAIRRO OSTERNACK (X07),06:08
106115,TERMINAL SITIO CERCADO,06:25
160756,BAIRRO OSTERNACK (X07),06:42
106115,TERMINAL SITIO CERCADO,06:59
160756,BAIRRO OSTERNACK (X07),07:17
106115,TERMINAL SITIO CERCADO,07:35
160756,BAIRRO OSTERNACK (X07),07:53
106115,TERMINAL SITIO CERCADO,08:11
160756,BAIRRO OSTERNACK (X07),08:29
106115,TERMINAL SITIO CERCADO,08:47
160756,BAIRRO OSTERNACK (X07),09:05
106115,TERMINAL SITIO CERCADO,09:23
160756,BAIRRO OSTERNACK (X07),09:41
106115,TERMINAL SITIO CERCADO,09:59
160756,BAIRRO OSTERNACK (X07),10:17
106115,TERMINAL SITIO CERCADO,10:35
160756,BAIRRO OSTERNACK (X07),10:53
106115,TERMINAL SITIO CERCADO,11:11
160756,BAIRRO OSTERNACK (X07),11:29
106115,TERMINAL SITIO CERCADO,11:47
160756,BAIRRO OSTERNACK (X07),12:05
106115,TERMINAL SITIO CERCADO,12:23
160756,BAIRRO OSTERNACK (X07),12:41
106115,TERMINAL SITIO CERCADO,12:59
160756,BAIRRO OSTERNACK (X07),13:17
106115,TERMINAL SITIO CERCADO,13:35
160756,BAIRRO OSTERNACK (X07),13:53
106115,TERMINAL SITIO CERCADO,14:11
160756,BAIRRO OSTERNACK (X07),14:29
106115,TERMINAL SITIO CERCADO,14:47
160756,BAIRRO OSTERNACK (X07),15:05
106115,TERMINAL SITIO CERCADO,15:23
160756,BAIRRO OSTERNACK (X07),15:41
106115,TERMINAL SITIO CERCADO,15:59
160756,BAIRRO OSTERNACK (X07),16:17
106115,TERMINAL SITIO CERCADO,16:35
160756,BAIRRO OSTERNACK (X07),16:53
106115,TERMINAL SITIO CERCADO,17:11
160756,BAIRRO OSTERNACK (X07),17:29
106115,TERMINAL SITIO CERCADO,17:47
160756,BAIRRO OSTERNACK (X07),18:05
106115,TERMINAL SITIO CERCADO,18:23
160756,BAIRRO OSTERNACK (X07),18:41
106115,TERMINAL SITIO CERCADO,18:59
160756,BAIRRO OSTERNACK (X07),19:17
106115,TERMINAL SITIO CERCADO,19:35
160756,BAIRRO OSTERNACK (X07),19:53
106115,TERMINAL SITIO CERCADO,20:11
160756,BAIRRO OSTERNACK (X07),20:29
106115,TERMINAL SITIO CERCADO,20:47
