Linha,633
Tabela,002-2
num,ponto,horario
105710,TERMINAL PINHEIRINHO,16:20
106110,TERMINAL SITIO CERCADO,16:51
105710,TERMINAL PINHEIRINHO,17:24
106110,TERMINAL SITIO CERCADO,17:55
105710,TERMINAL PINHEIRINHO,18:29
106110,TERMINAL SITIO CERCADO,19:01
105710,TERMINAL PINHEIRINHO,19:29
106110,TERMINAL SITIO CERCADO,19:58
105710,TERMINAL PINHEIRINHO,20:27
106110,TERMINAL SITIO CERCADO,20:56
105710,TERMINAL PINHEIRINHO,21:25
106110,TERMINAL SITIO CERCADO,21:54
105710,TERMINAL PINHEIRINHO,22:23
106110,TERMINAL SITIO CERCADO,22:52
105710,TERMINAL PINHEIRINHO,23:21
106110,TERMINAL SITIO CERCADO,23:52
105710,TERMINAL PINHEIRINHO,00:20
