Linha,779
Tabela,002-2
num,ponto,horario
180778,BAIRRO VILA VELHA,16:05
180989,TUBO SANTA QUITERIA S/ BURITI,16:20
180988,BAIRRO BURITI,16:35
180990,TUBO SANTA QUITERIA S/ V.VELHA,16:50
180778,BAIRRO VILA VELHA,17:15
181093,TUBO SANTA QUITÉRIA / LOS ANGELES,17:30
180899,LOS ANGELES (779),17:37
180989,TUBO SANTA QUITERIA S/ BURITI,17:44
180988,BAIRRO BURITI,17:59
180990,TUBO SANTA QUITERIA S/ V.VELHA,18:14
180778,BAIRRO VILA VELHA,18:29
180989,TUBO SANTA QUITERIA S/ BURITI,18:49
180988,BAIRRO BURITI,19:04
180990,TUBO SANTA QUITERIA S/ V.VELHA,19:19
