Linha,021
Tabela,003-2
num,ponto,horario
104405,TERMINAL CABRAL,16:30
104506,TERMINAL CAMPINA DO SIQUEIRA,17:16
104819,TERMINAL CAPAO RASO,18:00
105511,TERMINAL HAUER,18:26
104703,TERMINAL CAPAO DA IMBUIA,18:50
104405,TERMINAL CABRAL,19:18
104506,TERMINAL CAMPINA DO SIQUEIRA,19:51
104819,TERMINAL CAPAO RASO,20:22
105511,TERMINAL HAUER,20:42
104703,TERMINAL CAPAO DA IMBUIA,21:03
104405,TERMINAL CABRAL,21:29
104506,TERMINAL CAMPINA DO SIQUEIRA,22:06
104819,TERMINAL CAPAO RASO,22:33
105511,TERMINAL HAUER,22:56
104703,TERMINAL CAPAO DA IMBUIA,23:17
104405,TERMINAL CABRAL,23:43
