Linha,628
Tabela,003-2
num,ponto,horario
170363,ROD. DO XISTO (628),16:09
170369,BAIRRO CARBOMAFRA,16:20
105212,TERMINAL CIC/SENT.CAPAO RASO,16:47
104806,TERMINAL CAPAO RASO,17:05
105205,TERMINAL CIC/BOSCH VILA VERDE,17:20
170369,BAIRRO CARBOMAFRA,17:53
105212,TERMINAL CIC/SENT.CAPAO RASO,18:21
104806,TERMINAL CAPAO RASO,18:39
105205,TERMINAL CIC/BOSCH VILA VERDE,18:54
170369,BAIRRO CARBOMAFRA,19:22
105212,TERMINAL CIC/SENT.CAPAO RASO,19:45
104806,TERMINAL CAPAO RASO,20:01
105205,TERMINAL CIC/BOSCH VILA VERDE,20:17
170369,BAIRRO CARBOMAFRA,20:40
105212,TERMINAL CIC/SENT.CAPAO RASO,21:03
104806,TERMINAL CAPAO RASO,21:18
105205,TERMINAL CIC/BOSCH VILA VERDE,21:33
170369,BAIRRO CARBOMAFRA,21:56
105212,TERMINAL CIC/SENT.CAPAO RASO,22:19
104806,TERMINAL CAPAO RASO,22:34
105205,TERMINAL CIC/BOSCH VILA VERDE,22:49
170369,BAIRRO CARBOMAFRA,23:11
105212,TERMINAL CIC/SENT.CAPAO RASO,23:34
104806,TERMINAL CAPAO RASO,23:49
105205,TERMINAL CIC/BOSCH VILA VERDE,00:05
