Linha,628
Tabela,002-3
num,ponto,horario
105212,TERMINAL CIC/SENT.CAPAO RASO,16:04
104806,TERMINAL CAPAO RASO,16:22
105205,TERMINAL CIC/BOSCH VILA VERDE,16:37
170369,BAIRRO CARBOMAFRA,17:06
105212,TERMINAL CIC/SENT.CAPAO RASO,17:35
104806,TERMINAL CAPAO RASO,17:53
105205,TERMINAL CIC/BOSCH VILA VERDE,18:07
170369,BAIRRO CARBOMAFRA,18:39
105212,TERMINAL CIC/SENT.CAPAO RASO,19:06
104806,TERMINAL CAPAO RASO,19:24
105205,TERMINAL CIC/BOSCH VILA VERDE,19:39
170369,BAIRRO CARBOMAFRA,20:02
105212,TERMINAL CIC/SENT.CAPAO RASO,20:25
104806,TERMINAL CAPAO RASO,20:40
105205,TERMINAL CIC/BOSCH VILA VERDE,20:55
170369,BAIRRO CARBOMAFRA,21:18
105212,TERMINAL CIC/SENT.CAPAO RASO,21:41
104806,TERMINAL CAPAO RASO,21:56
105205,TERMINAL CIC/BOSCH VILA VERDE,22:11
170369,BAIRRO CARBOMAFRA,22:34
105212,TERMINAL CIC/SENT.CAPAO RASO,22:57
104806,TERMINAL CAPAO RASO,23:12
105205,TERMINAL CIC/BOSCH VILA VERDE,23:27
170369,BAIRRO CARBOMAFRA,23:49
105212,TERMINAL CIC/SENT.CAPAO RASO,00:12
104806,TERMINAL CAPAO RASO,00:27
105205,TERMINAL CIC/BOSCH VILA VERDE,00:42
