Linha,020
Tabela,003
num,ponto,horario
105512,TERMINAL HAUER,05:14
104805,TERMINAL CAPAO RASO,05:33
104501,TERMINAL CAMPINA DO SIQUEIRA,06:02
104406,TERMINAL CABRAL,06:48
104706,TERMINAL CAPAO DA IMBUIA,07:14
105512,TERMINAL HAUER,07:32
104805,TERMINAL CAPAO RASO,07:53
104501,TERMINAL CAMPINA DO SIQUEIRA,08:21
104406,TERMINAL CABRAL,09:10
104706,TERMINAL CAPAO DA IMBUIA,09:41
105512,TERMINAL HAUER,10:00
104805,TERMINAL CAPAO RASO,10:21
104501,TERMINAL CAMPINA DO SIQUEIRA,10:50
104406,TERMINAL CABRAL,11:39
104706,TERMINAL CAPAO DA IMBUIA,12:09
105512,TERMINAL HAUER,12:28
104805,TERMINAL CAPAO RASO,12:49
104501,TERMINAL CAMPINA DO SIQUEIRA,13:18
104406,TERMINAL CABRAL,14:07
104706,TERMINAL CAPAO DA IMBUIA,14:37
105512,TERMINAL HAUER,14:56
104805,TERMINAL CAPAO RASO,15:17
104501,TERMINAL CAMPINA DO SIQUEIRA,15:47
104406,TERMINAL CABRAL,16:41
104706,TERMINAL CAPAO DA IMBUIA,17:19
105512,TERMINAL HAUER,17:41
104805,TERMINAL CAPAO RASO,18:03
104501,TERMINAL CAMPINA DO SIQUEIRA,18:34
104406,TERMINAL CABRAL,19:28
