Linha,020
Tabela,013-2
num,ponto,horario
104805,TERMINAL CAPAO RASO,16:30
104501,TERMINAL CAMPINA DO SIQUEIRA,17:02
104406,TERMINAL CABRAL,17:57
104706,TERMINAL CAPAO DA IMBUIA,18:29
105512,TERMINAL HAUER,18:50
104805,TERMINAL CAPAO RASO,19:10
104501,TERMINAL CAMPINA DO SIQUEIRA,19:41
104406,TERMINAL CABRAL,20:27
104706,TERMINAL CAPAO DA IMBUIA,20:53
105512,TERMINAL HAUER,21:10
104805,TERMINAL CAPAO RASO,21:29
104501,TERMINAL CAMPINA DO SIQUEIRA,21:52
104406,TERMINAL CABRAL,22:32
104706,TERMINAL CAPAO DA IMBUIA,22:58
105512,TERMINAL HAUER,23:15
104805,TERMINAL CAPAO RASO,23:34
104501,TERMINAL CAMPINA DO SIQUEIRA,00:03
