Linha,506
Tabela,003
num,ponto,horario
109038,TUBO OSTERNACK,05:45
109112,TERMINAL SITIO CERCADO,05:56
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,06:32
109114,TERM.S.CERCADO(SENT.OSTERNACK),07:10
109038,TUBO OSTERNACK,07:24
109112,TERMINAL SITIO CERCADO,07:38
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,08:24
109114,TERM.S.CERCADO(SENT.OSTERNACK),09:03
109038,TUBO OSTERNACK,09:16
109112,TERMINAL SITIO CERCADO,09:28
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,10:06
109114,TERM.S.CERCADO(SENT.OSTERNACK),10:44
109038,TUBO OSTERNACK,10:56
109112,TERMINAL SITIO CERCADO,11:08
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,11:46
109114,TERM.S.CERCADO(SENT.OSTERNACK),12:24
109038,TUBO OSTERNACK,12:36
109112,TERMINAL SITIO CERCADO,12:48
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,13:26
109114,TERM.S.CERCADO(SENT.OSTERNACK),14:04
109038,TUBO OSTERNACK,14:16
109112,TERMINAL SITIO CERCADO,14:28
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,15:06
109114,TERM.S.CERCADO(SENT.OSTERNACK),15:44
109038,TUBO OSTERNACK,15:58
109112,TERMINAL SITIO CERCADO,16:11
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,16:53
109114,TERM.S.CERCADO(SENT.OSTERNACK),17:33
109038,TUBO OSTERNACK,17:50
109112,TERMINAL SITIO CERCADO,18:02
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,18:44
109114,TERM.S.CERCADO(SENT.OSTERNACK),19:23
109038,TUBO OSTERNACK,19:38
109112,TERMINAL SITIO CERCADO,19:50
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,20:28
109114,TERM.S.CERCADO(SENT.OSTERNACK),21:07
109038,TUBO OSTERNACK,21:18
109112,TERMINAL SITIO CERCADO,21:28
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,22:06
109114,TERM.S.CERCADO(SENT.OSTERNACK),22:44
109038,TUBO OSTERNACK,22:55
109112,TERMINAL SITIO CERCADO,23:06
109062,ESTACAO TUBO WESTPHALEN/B.NOVO,23:42
109114,TERM.S.CERCADO(SENT.OSTERNACK),00:18
