Linha,863
Tabela,002-1
num,ponto,horario
150938,BAIRRO AGUA VERDE,05:54
101017,PRACA TIRADENTES,06:14
150938,BAIRRO AGUA VERDE,06:42
101017,PRACA TIRADENTES,07:04
150938,BAIRRO AGUA VERDE,07:33
101017,PRACA TIRADENTES,07:58
150938,BAIRRO AGUA VERDE,08:27
101017,PRACA TIRADENTES,08:52
150938,BAIRRO AGUA VERDE,09:22
101017,PRACA TIRADENTES,09:47
150938,BAIRRO AGUA VERDE,10:18
101017,PRACA TIRADENTES,10:43
150938,BAIRRO AGUA VERDE,11:14
101017,PRACA TIRADENTES,11:42
150938,BAIRRO AGUA VERDE,12:14
101017,PRACA TIRADENTES,12:42
150938,BAIRRO AGUA VERDE,13:14
101017,PRACA TIRADENTES,13:41
