Linha,X38
Tabela,001-2
num,ponto,horario
105922,T.PINHEIRINHO / BAIRRO -SEMI-D,16:41
170538,BAIRRO VAZIO / T.PINHEIRINHO,17:15
105922,T.PINHEIRINHO / BAIRRO -SEMI-D,17:50
170538,BAIRRO VAZIO / T.PINHEIRINHO,18:29
105922,T.PINHEIRINHO / BAIRRO -SEMI-D,19:02
