Linha,060
Tabela,004-2
num,ponto,horario
105733,TERMINAL PINHEIRINHO,16:44
105010,TERM.CAIUA SENTIDO TERM.C.COMP,17:19
104616,TERMINAL CAMPO COMPRIDO,17:43
105007,TERM. CAIUA SENT. PINHEIRINHO,18:04
105733,TERMINAL PINHEIRINHO,18:51
105010,TERM.CAIUA SENTIDO TERM.C.COMP,19:29
104616,TERMINAL CAMPO COMPRIDO,19:53
105007,TERM. CAIUA SENT. PINHEIRINHO,20:13
105733,TERMINAL PINHEIRINHO,20:45
105010,TERM.CAIUA SENTIDO TERM.C.COMP,21:17
104616,TERMINAL CAMPO COMPRIDO,21:35
105007,TERM. CAIUA SENT. PINHEIRINHO,21:55
105733,TERMINAL PINHEIRINHO,22:26
105010,TERM.CAIUA SENTIDO TERM.C.COMP,22:57
104616,TERMINAL CAMPO COMPRIDO,23:15
105007,TERM. CAIUA SENT. PINHEIRINHO,23:35
105733,TERMINAL PINHEIRINHO,00:05
105010,TERM.CAIUA SENTIDO TERM.C.COMP,00:30
